"year2016","year2018","year2019","ss.500","sharp_hm.500","sharp_tb.500","ldev.100","imp.500"
0,0,0,0,0.0765147283673286,0.00116459047421813,0,0.00228050164878368
1,0,0,0,0.0765147283673286,0.00116459047421813,0,0.00228050164878368
0,0,0,0.00342075247317553,0.136481061577797,0.00163183256518096,0,0.00114025082439184
1,0,0,0.00342075247317553,0.136481061577797,0.00163183256518096,0,0.00114025082439184
0,0,0,0.00114025082439184,0.197180315852165,0.00288447551429272,0,0.0102622583508492
1,0,0,0.00114025082439184,0.197180315852165,0.00288447551429272,0,0.0102622583508492
0,0,0,0,0.164569765329361,0.00805980432778597,0,0.042189285159111
1,0,0,0,0.164569765329361,0.00805980432778597,0,0.042189285159111
0,0,0,0,0.0140845328569412,0.00711286021396518,0.306122452020645,0
0,0,0,0,0.180815279483795,0.00400100136175752,0.244897961616516,0
0,0,0,0,0.0690721422433853,0.00573510024696589,0.122448980808258,0.0125427590683103
0,0,0,0,0.0533591210842133,0.00421222625300288,0.16326530277729,0.00684150494635105
1,0,0,0.00570125412195921,0.658324956893921,0.0166864581406116,0.0816326513886452,0
0,0,0,0,0.655335187911987,0.02029431425035,0.142857149243355,0
1,0,0,0,0.655335187911987,0.02029431425035,0.142857149243355,0
0,0,0,0,0.616842031478882,0.0247358921915293,0.183673471212387,0
1,0,0,0,0.616842031478882,0.0247358921915293,0.183673471212387,0
0,0,0,0,0.442295253276825,0.0473631024360657,0.142857149243355,0
0,0,0,0,0.530045747756958,0.00685250665992498,0.122448980808258,0
0,0,0,0,0.569439828395844,0.00707606505602598,0.142857149243355,0
0,0,0,0,0.414600431919098,0.00800389889627695,0.0816326513886452,0
0,0,0,0,0.508952260017395,0.00804600957781076,0.142857149243355,0
0,0,0,0,0.185724481940269,0.0107499975711107,0.265306115150452,0
0,0,0,0,0.201671570539474,0.00455379951745272,0.346938788890839,0
0,0,0,0,0.352328658103943,0.00052977615268901,0.38775509595871,0
0,0,0,0.0250855181366205,0.23540423810482,0.00915837660431862,0.16326530277729,0
0,0,0,0.00456100329756737,0.12379752099514,0.00558640342205763,0,0
0,0,0,0.0421892814338207,0.361723273992538,0.0504340380430222,0,0
0,0,0,0.0490307882428169,0.278330028057098,0.0561049543321133,0,0
